Generacion,Aptitud Mejor Individuo,DisPos1,DisPos2,DisPos3,DisPos4,DisPos5,DisKick1,DisKick2,DisKick3,DisKick4,DisKick5,DisTeam1,DisTeam2,DisTeam3,DisTeam4,DisTeam5,Tiempo por generacion,Tiempo total,Uso CPU
1,0.0,4,4,2,7,2,5,5,7,1,3,5,1,6,8,5,26.0,26,18.11
2,0.0,4,4,2,7,2,5,5,7,1,3,5,1,6,8,5,1.0,27,11.31
3,0.0,4,4,2,7,2,5,5,7,1,3,5,1,6,8,5,1.0,28,10.33
4,0.0,6,2,8,4,8,2,5,8,8,7,7,8,7,2,4,1.0,29,9.25
5,0.0,6,2,8,4,8,2,7,3,1,3,5,1,6,8,5,1.0,30,8.57
6,0.0,6,2,6,1,5,2,4,3,6,2,6,4,4,1,4,1.0,31,9.60
7,0.0,6,2,2,4,8,2,7,3,2,7,8,2,6,1,4,1.0,32,9.42
8,0.0,6,2,8,4,8,2,5,5,1,3,5,1,6,8,5,1.0,33,8.85
9,0.0,6,2,8,4,8,2,5,5,1,3,5,1,6,8,5,1.0,34,9.13
10,0.0,6,2,2,4,8,2,5,3,1,3,5,6,5,4,2,1.0,35,13.56
11,0.0,6,4,2,4,8,2,7,3,2,7,8,2,6,1,4,1.0,36,9.18
12,0.0,6,4,2,4,8,2,7,3,2,7,8,2,6,1,4,1.0,37,8.59
13,0.0,6,4,2,4,8,2,7,3,2,8,8,3,1,1,4,1.0,38,9.51
14,0.0,6,1,2,4,8,6,3,3,7,3,5,3,1,1,4,1.0,39,9.27
15,0.0,6,4,2,4,8,2,7,3,2,7,8,2,6,1,4,1.0,40,9.40
16,0.0,6,1,2,4,8,2,7,3,2,8,8,6,8,4,2,1.0,41,8.80
17,0.0,6,4,2,4,8,2,7,3,2,8,5,3,1,1,4,1.0,42,14.65
18,0.0,6,4,2,4,8,2,7,3,2,8,8,6,8,4,2,1.0,43,15.30
19,0.0,1,5,2,4,8,2,7,3,2,8,8,3,1,1,2,1.0,44,14.75
20,0.0,6,4,2,4,8,2,7,3,2,8,8,6,8,4,2,1.0,45,22.13
