Generacion,Aptitud Mejor Individuo,DisPos1,DisPos2,DisPos3,DisPos4,DisPos5,DisKick1,DisKick2,DisKick3,DisKick4,DisKick5,DisTeam1,DisTeam2,DisTeam3,DisTeam4,DisTeam5,Tiempo por generacion,Tiempo total,Uso CPU
1,1013.0,7,7,6,7,7,3,2,2,2,6,6,1,8,6,2,26.0,26,13.69
2,1013.0,7,7,6,7,7,3,2,2,2,6,6,1,8,6,2,3.0,29,14.35
3,0.0,8,1,8,7,5,6,1,7,2,5,6,6,5,4,2,1.0,30,20.00
4,0.0,6,2,7,6,8,3,1,3,8,3,6,6,5,6,2,1.0,31,16.53
5,0.0,6,2,7,6,6,6,1,3,5,5,2,7,7,6,2,2.0,33,20.77
6,1020.0,8,2,7,6,6,6,1,3,5,5,6,6,2,4,2,1.0,34,13.91
7,1023.0,8,4,7,6,6,6,2,3,4,5,6,6,7,4,2,1.0,35,28.62
8,1023.0,8,4,7,6,6,6,2,3,4,5,6,6,7,4,2,1.0,36,13.80
9,1023.0,8,8,8,6,8,6,2,3,4,5,6,6,2,3,2,2.0,38,14.91
10,1023.0,8,4,7,6,6,6,2,3,4,5,6,6,7,4,2,2.0,40,12.78
11,1023.0,8,4,7,6,6,6,2,3,4,5,6,6,7,4,2,2.0,42,12.40
12,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,43,24.51
13,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,2.0,45,9.89
14,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,46,11.67
15,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,47,10.76
16,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,48,12.33
17,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,49,17.10
18,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,2.0,51,12.79
19,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,52,9.62
20,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,1.0,53,14.47
21,1027.0,8,4,8,6,6,6,1,3,2,5,6,5,7,4,2,0.0,53,30.46
22,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,54,15.84
23,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,55,9.91
24,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,56,19.89
25,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,57,22.91
26,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,58,19.51
27,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,60,12.30
28,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,60,11.93
29,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,60,12.86
30,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,60,30.98
31,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,61,28.53
32,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,63,25.26
33,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,65,31.18
34,1029.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,66,28.00
35,1029.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,67,16.66
36,1029.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,69,16.86
37,1029.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,70,12.50
38,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,72,42.24
39,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,74,11.83
40,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,76,12.43
41,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,77,19.52
42,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,78,9.43
43,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,78,9.62
44,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,78,8.44
45,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,0.0,78,14.77
46,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,80,24.82
47,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,81,17.90
48,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,82,45.34
49,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,10.0,92,44.22
50,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,93,19.80
51,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,5.0,98,44.89
52,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,4.0,102,13.87
53,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,103,18.54
54,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,1.0,104,25.00
55,1028.0,8,4,8,6,6,6,1,3,1,5,6,5,7,4,2,2.0,106,17.94
