Generacion,Aptitud Mejor Individuo,DisPos1,DisPos2,DisPos3,DisPos4,DisPos5,DisKick1,DisKick2,DisKick3,DisKick4,DisKick5,DisTeam1,DisTeam2,DisTeam3,DisTeam4,DisTeam5,Tiempo por generacion,Tiempo total,Uso CPU
1,0.0,3,7,7,4,2,6,5,6,6,3,4,8,2,1,7,19168666,19168666,37.76
2,0.0,5,1,8,4,7,4,3,3,2,4,6,8,3,6,5,335833,19504499,26.45
3,0.0,4,6,5,5,6,4,4,7,1,6,6,8,4,7,2,297500,19801999,46.44
4,0.0,3,6,5,4,5,4,4,6,2,5,5,7,3,5,2,272417,20074416,32.97
5,0.0,3,6,5,4,5,4,4,6,2,5,5,7,3,5,2,267834,20342250,35.27
6,0.0,3,3,5,4,5,4,3,4,2,4,6,7,2,5,2,244959,20587209,27.89
7,0.0,4,4,6,2,1,4,2,5,3,5,6,8,5,6,3,341000,20928209,31.35
8,0.0,4,4,6,2,1,4,2,5,3,5,6,8,5,6,3,333416,21261625,27.55
9,0.0,3,5,5,4,5,3,3,5,2,4,5,7,2,5,2,340334,21601959,44.28
10,0.0,3,5,5,4,5,3,3,5,2,4,5,7,2,5,2,612792,22214751,44.34
11,0.0,3,7,5,3,5,1,2,5,1,3,5,7,2,5,2,309083,22523834,29.46
12,0.0,3,5,4,3,4,2,3,5,1,3,4,6,2,5,2,229875,22753709,30.65
13,0.0,3,7,5,3,5,1,2,5,1,3,5,7,2,5,2,218500,22972209,46.52
14,0.0,3,5,4,3,4,2,3,5,1,3,4,6,2,5,2,230458,23202667,0.00
15,0.0,3,5,4,4,4,3,2,4,3,4,4,6,2,5,3,196500,23399167,30.33
16,0.0,3,6,4,3,4,1,2,4,1,3,4,6,2,5,2,281041,23680208,36.36
17,0.0,3,6,4,3,4,1,2,4,1,3,4,6,2,5,2,228041,23908249,27.90
18,0.0,3,5,4,2,2,2,2,3,7,3,4,5,2,5,2,252459,24160708,24.80
19,0.0,2,2,4,2,3,3,4,3,6,3,4,4,1,4,3,215584,24376292,40.87
20,0.0,3,5,4,2,2,2,2,3,7,3,4,5,2,5,2,177125,24553417,29.28
21,0.0,3,5,4,2,2,2,2,3,7,3,4,5,2,5,2,220791,24774208,28.79
22,0.0,2,3,4,3,2,4,4,3,5,4,4,3,1,3,3,251791,25025999,39.10
23,0.0,2,3,4,3,2,4,4,3,5,4,4,3,1,3,3,173750,25199749,31.79
24,0.0,2,3,4,3,2,3,3,3,5,4,4,3,1,3,3,244208,25443957,0.00
25,0.0,5,3,5,2,8,3,2,2,4,4,5,5,3,7,6,640750,26084707,0.00
26,0.0,2,3,4,3,2,3,3,3,5,4,4,3,1,3,3,472375,26557082,25.54
27,0.0,5,3,5,2,8,3,2,2,4,4,5,5,3,7,6,200875,26757957,41.63
28,0.0,4,3,4,2,5,2,1,2,5,4,4,4,2,5,4,151583,26909540,103.60
29,0.0,4,3,4,2,5,2,1,2,5,4,4,4,2,5,4,281084,27190624,0.00
30,0.0,5,3,5,2,8,3,2,2,4,4,5,5,3,7,6,209875,27400499,0.00
31,0.0,3,3,4,2,5,2,3,2,4,3,4,4,2,4,4,165959,27566458,32.07
32,0.0,2,3,3,8,5,8,3,8,3,2,4,8,2,4,5,201542,27768000,0.00
33,0.0,4,3,4,2,5,2,1,2,5,4,4,4,2,5,4,179208,27947208,39.18
34,0.0,4,3,4,2,5,2,1,2,5,4,4,4,2,5,4,157792,28105000,0.00
35,0.0,3,4,5,5,5,3,3,3,5,3,4,5,2,3,2,596334,28701334,48.45
36,0.0,4,3,4,2,5,2,1,2,5,4,4,4,2,5,4,206208,28907542,262.01
37,0.0,3,3,1,4,1,2,8,1,5,7,8,1,1,7,6,172041,29079583,42.03
38,0.0,3,4,2,4,3,2,5,1,4,5,6,3,1,6,4,194542,29274125,31.35
39,0.0,3,3,1,3,2,2,6,1,4,5,6,2,1,6,4,179458,29453583,68.21
40,0.0,3,3,1,3,2,2,6,1,4,5,6,2,1,6,4,173334,29626917,57.06
41,0.0,5,5,3,6,5,3,2,4,7,4,4,7,2,6,3,184625,29811542,0.00
42,0.0,3,4,2,4,3,2,5,1,4,5,6,3,1,6,4,182084,29993626,0.00
43,0.0,3,4,2,4,8,2,6,1,4,3,6,5,8,6,4,404375,30398001,41.24
44,0.0,2,3,4,4,4,2,4,1,4,5,5,5,4,6,3,236125,30634126,91.31
45,0.0,2,3,4,4,4,2,4,1,4,5,5,5,4,6,3,161959,30796085,32.89
46,0.0,2,3,3,4,5,2,4,1,4,4,5,5,5,6,3,223167,31019252,0.00
47,1013.0,4,3,3,8,2,2,1,1,5,1,7,6,6,6,3,354750,31374002,27.54
48,0.0,3,4,2,4,8,2,6,1,4,3,6,5,8,6,4,157250,31531252,41.77
49,0.0,3,4,2,4,8,2,6,1,4,3,6,5,8,6,4,147500,31678752,38.16
50,0.0,3,4,2,4,8,2,6,1,4,3,6,5,8,6,4,173708,31852460,29.02
51,0.0,2,3,5,4,4,3,4,2,2,3,5,5,4,6,2,130584,31983044,50.20
52,0.0,2,3,4,4,4,3,3,2,2,4,5,4,4,6,2,155584,32138628,97.08
53,0.0,2,3,4,4,4,3,3,2,2,4,5,4,4,6,2,132625,32271253,74.06
54,0.0,2,4,5,4,5,2,3,2,1,3,5,3,4,6,2,128208,32399461,57.96
55,0.0,2,3,4,4,4,3,3,2,2,4,5,4,4,6,2,124708,32524169,0.00
56,0.0,2,3,4,4,4,3,3,2,2,4,5,4,4,6,2,154875,32679044,35.74
57,0.0,2,3,4,4,4,3,3,2,2,4,5,4,4,6,2,169709,32848753,41.99
58,0.0,1,5,3,4,4,6,3,1,4,2,3,7,7,3,3,140291,32989044,0.00
59,0.0,6,4,3,4,1,4,6,3,1,5,5,8,4,6,3,161208,33150252,0.00
60,0.0,4,3,2,4,3,4,5,3,1,5,5,8,4,5,3,149667,33299919,41.08
61,0.0,6,4,3,4,1,4,6,3,1,5,5,8,4,6,3,175000,33474919,31.15
62,0.0,2,3,3,6,4,4,4,2,3,4,4,4,5,3,5,163750,33638669,34.73
63,0.0,2,3,3,6,4,4,4,2,3,4,4,4,5,3,5,880166,34518835,54.19
64,0.0,4,3,2,4,2,4,5,2,2,4,4,6,4,4,3,198875,34717710,0.00
65,0.0,2,3,3,6,4,4,4,2,3,4,4,4,5,3,5,140458,34858168,0.00
66,0.0,4,3,4,5,7,7,5,3,3,5,5,2,4,4,3,153666,35011834,49.67
67,0.0,4,3,4,5,4,4,4,3,3,4,5,4,4,4,3,136333,35148167,38.60
68,0.0,3,3,3,5,5,5,4,2,3,4,4,3,4,3,3,158250,35306417,36.90
69,0.0,2,3,3,5,4,4,4,2,3,4,4,3,4,3,4,184459,35490876,63.92
70,0.0,2,3,3,5,4,4,4,2,3,4,4,3,4,3,5,150875,35641751,48.23
71,0.0,2,5,7,5,7,2,4,2,6,4,4,5,4,6,7,184000,35825751,22.29
72,0.0,3,5,3,5,7,4,6,2,3,4,4,3,4,3,6,124000,35949751,56.17
73,1014.0,5,6,5,3,7,4,4,2,1,6,3,2,4,4,6,366167,36315918,32.11
74,1014.0,5,6,5,3,7,4,4,2,1,6,3,2,4,4,6,153500,36469418,31.15
75,1014.0,5,6,5,3,7,4,4,2,1,6,3,2,4,4,6,606250,37075668,25.86
76,1014.0,5,6,5,3,7,4,4,2,1,6,3,2,4,4,6,282166,37357834,31.10
77,1015.0,5,6,5,4,7,4,4,2,1,3,3,2,3,6,7,938417,38296251,32.13
78,1015.0,5,6,5,4,7,4,4,2,1,3,3,2,3,6,7,240542,38536793,41.46
79,1015.0,5,6,5,4,7,4,4,2,1,3,3,2,3,6,7,287667,38824460,51.03
80,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,257000,39081460,32.38
81,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,581167,39662627,25.62
82,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,217250,39879877,36.83
83,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,2604792,42484669,23.35
84,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,1614792,44099461,23.78
85,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,8934917,53034378,30.35
86,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,2576958,55611336,35.59
87,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,805083,56416419,26.19
88,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,2006959,58423378,23.39
89,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,859500,59282878,25.82
90,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,490334,59773212,33.38
91,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,2931000,62704212,23.05
92,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,1427625,64131837,24.55
93,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,3994458,68126295,39.96
94,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,818750,68945045,25.95
95,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,568291,69513336,34.07
96,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,793833,70307169,43.85
97,1016.0,4,6,5,4,7,3,4,2,2,3,3,3,3,6,7,891750,71198919,25.55
