Generación,Mejor Fitness,Promedio Fitness,Diversidad,Convergencia,Goles Favor Mejor,Goles Contra Mejor,Goles Favor Total,Goles Contra Total,CPU,Memoria,Tiempo,OS,Arquitectura,Versión OS
1,7435.0000,6431.8000,0.9400,0.0600,0,39,0,3900,14.05,70,31.83,Mac OS X,aarch64,15.2
2,7435.0000,6389.0500,0.9100,0.0900,0,31,0,3100,34.18,106,41.87,Mac OS X,aarch64,15.2
3,7530.0000,6423.2500,0.9500,0.0500,0,37,0,3700,26.93,45,53.59,Mac OS X,aarch64,15.2
4,7435.0000,6350.1000,0.9100,0.0900,0,33,0,3300,31.55,107,68.41,Mac OS X,aarch64,15.2
5,7720.0000,6296.9000,0.9200,0.0800,0,43,0,4300,34.29,50,82.61,Mac OS X,aarch64,15.2
6,7720.0000,6327.3000,0.9000,0.1000,0,35,0,3500,16.89,17,97.73,Mac OS X,aarch64,15.2
7,7720.0000,6257.9500,0.9100,0.0900,0,38,0,3800,26.39,82,113.40,Mac OS X,aarch64,15.2
8,7530.0000,6269.3500,0.8800,0.1200,0,37,0,3700,14.12,110,126.94,Mac OS X,aarch64,15.2
9,7530.0000,6471.7000,0.8500,0.1500,0,37,0,3700,12.76,167,138.85,Mac OS X,aarch64,15.2
10,7530.0000,6537.2500,0.8300,0.1700,0,36,0,3600,36.54,71,151.68,Mac OS X,aarch64,15.2
11,7530.0000,6458.4000,0.8200,0.1800,0,47,0,4700,38.92,166,168.07,Mac OS X,aarch64,15.2
12,7530.0000,6542.0000,0.8100,0.1900,0,36,0,3600,24.03,126,184.26,Mac OS X,aarch64,15.2
13,7815.0000,6609.4500,0.8000,0.2000,0,35,0,3500,18.88,166,198.98,Mac OS X,aarch64,15.2
14,7815.0000,6667.4000,0.7800,0.2200,0,36,0,3600,27.63,175,218.85,Mac OS X,aarch64,15.2
15,7815.0000,6634.1500,0.8000,0.2000,0,39,0,3900,23.47,32,232.83,Mac OS X,aarch64,15.2
16,7815.0000,6697.8000,0.8200,0.1800,0,37,0,3700,22.79,128,245.77,Mac OS X,aarch64,15.2
17,7815.0000,6684.4500,0.7900,0.2100,1,30,100,3000,23.19,108,257.68,Mac OS X,aarch64,15.2
18,7815.0000,6706.3500,0.7700,0.2300,0,31,0,3100,27.52,134,275.14,Mac OS X,aarch64,15.2
