Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,58288.43,26582.39,0.88,-17401.99,0.00,98.89,32.16,0,30
2,50796.72,37157.16,0.86,-13817.36,75.11,98.98,42.53,0,33
3,50796.72,39825.24,0.82,-13817.36,73.44,99.20,52.54,0,33
4,50796.72,40936.07,0.74,-24704.62,72.91,99.01,61.84,0,33
5,100745.37,43569.20,0.68,-13817.36,73.73,99.01,70.84,0,4
6,100745.37,43483.62,0.70,-6782.41,74.31,99.25,79.97,0,4
7,100745.37,46278.77,0.70,-24704.62,73.13,98.86,89.03,0,4
8,100745.37,47186.61,0.76,-10277.43,75.13,98.91,98.16,0,4
9,100745.37,56423.27,0.76,-17401.99,76.29,98.90,106.77,0,4
10,100745.37,60083.67,0.70,6744.68,75.67,98.96,115.61,0,4
11,100745.37,67860.91,0.60,3431.27,74.10,98.98,124.54,0,4
12,100745.37,58150.01,0.66,-10277.43,74.20,98.93,133.33,0,4
13,100745.37,56116.96,0.72,-28422.26,75.32,98.86,142.12,0,4
14,100745.37,65800.06,0.70,72.14,74.00,98.92,150.78,0,4
15,100745.37,58879.17,0.70,72.14,78.73,98.86,159.33,0,4
16,100745.37,64115.16,0.74,-43730.90,74.35,98.59,168.06,0,4
17,100745.37,59696.05,0.76,-13817.36,74.90,98.68,176.69,0,4
18,100745.37,59602.73,0.80,-10277.43,74.33,99.16,185.75,0,4
19,100745.37,59689.40,0.70,-13817.36,75.85,98.94,195.31,0,4
20,100745.37,56264.08,0.76,-3332.48,75.77,99.10,204.81,0,4
21,100745.37,63356.24,0.80,-3332.48,76.44,99.07,213.73,0,4
22,100745.37,64109.20,0.76,-3332.48,74.44,99.21,223.06,0,4
23,100745.37,56153.49,0.76,-6782.41,76.22,98.81,232.58,0,4
24,100745.37,61540.80,0.72,-3332.48,74.70,98.83,242.13,0,4
25,100745.37,59698.75,0.82,3431.27,76.39,99.25,251.79,0,4
26,100745.37,56105.96,0.74,-39838.36,74.67,98.93,261.35,0,4
27,100745.37,65931.17,0.70,-17401.99,75.63,98.79,270.54,0,4
28,100745.37,62377.14,0.64,-67990.23,73.40,99.09,279.51,0,4
29,100745.37,64243.55,0.66,72.14,75.79,98.94,289.07,0,4
30,100745.37,70598.06,0.60,13233.47,73.13,99.24,298.10,0,4
31,100745.37,64825.36,0.64,-6782.41,75.65,99.13,307.02,0,4
32,100745.37,66449.09,0.70,-3332.48,74.93,98.92,316.22,0,4
