Generación 1: Fitness=62756.02, Cromosoma=[[[7.412613736071537],[6.276603871530967],[7.1870292658515496],[4.095578313982094],[8.017706026869543],[8.261497594993747],[6.484921030785269],[7.106278293381367],[7.59327304195562],[5.613607787435856],[7.929470591480722],[1.5481706941026352],[8.687997744586378],[8.126120666375249],[4.085694087721922],[3.4097458080622367],[3.6847772090572373],[3.9694823167137905],[5.22498403383631],[1.4790390503807849],[1.9369052928924602],[7.32718659153793],[6.09301877739483],[0.9725784322053932],[4.549523441691247],[5.22715536347693],[4.435375422447746],[1.5020526445795412],[9.274321733164104],[3.052890045375606],[0.18119686669690993],[1.373476071226154],[1.5501727381142616],[2.7087387006213834],[4.5343052325771716],[1.8571986186586331],[0.44892967701408604],[4.38014937607776],[6.636803639268391],[7.475922574142576],[3.3599288173013973],[0.4635559908917297],[2.2943777101902407],[1.2312249113668605],[5.1269380032264085],[6.181591118810157],[1.1789229675424506],[9.726258872457148],[3.6087838393491536],[0.8903034363468088],[7.525174812800843],[3.057012934721617],[8.354845330299273],[8.815395171989737]]]
Generación 2: Fitness=63375.78, Cromosoma=[[[0.39755288814267264],[6.276603871530967],[6.136426383423331],[5.010873039839257],[0.4979856824389284],[2.5016074982098955],[0.8663636101073346],[7.106278293381367],[7.5415544093039175],[5.613607787435856],[8.722793707372379],[1.5225736784647992],[6.538603385326418],[4.979838928098172],[1.215831001151092],[4.060679785076168],[3.60875092340358],[9.535067699733803],[7.07201319580146],[7.2326907394169035],[1.9369052928924602],[6.998339394275808],[6.1122455433801],[0.8865428290206456],[6.8855244477882485],[5.228710671482966],[7.337417893263484],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 3: Fitness=63375.78, Cromosoma=[[[0.39755288814267264],[6.276603871530967],[6.136426383423331],[5.010873039839257],[0.4979856824389284],[2.5016074982098955],[0.8663636101073346],[7.106278293381367],[7.5415544093039175],[5.613607787435856],[8.722793707372379],[1.5225736784647992],[6.538603385326418],[4.979838928098172],[1.215831001151092],[4.060679785076168],[3.60875092340358],[9.535067699733803],[7.07201319580146],[7.2326907394169035],[1.9369052928924602],[6.998339394275808],[6.1122455433801],[0.8865428290206456],[6.8855244477882485],[5.228710671482966],[7.337417893263484],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 4: Fitness=63375.78, Cromosoma=[[[0.39755288814267264],[6.276603871530967],[6.136426383423331],[5.010873039839257],[0.4979856824389284],[2.5016074982098955],[0.8663636101073346],[7.106278293381367],[7.5415544093039175],[5.613607787435856],[8.722793707372379],[1.5225736784647992],[6.538603385326418],[4.979838928098172],[1.215831001151092],[4.060679785076168],[3.60875092340358],[9.535067699733803],[7.07201319580146],[7.2326907394169035],[1.9369052928924602],[6.998339394275808],[6.1122455433801],[0.8865428290206456],[6.8855244477882485],[5.228710671482966],[7.337417893263484],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 5: Fitness=63375.78, Cromosoma=[[[0.39755288814267264],[6.276603871530967],[6.136426383423331],[5.010873039839257],[0.4979856824389284],[2.5016074982098955],[0.8663636101073346],[7.106278293381367],[7.5415544093039175],[5.613607787435856],[8.722793707372379],[1.5225736784647992],[6.538603385326418],[4.979838928098172],[1.215831001151092],[4.060679785076168],[3.60875092340358],[9.535067699733803],[7.07201319580146],[7.2326907394169035],[1.9369052928924602],[6.998339394275808],[6.1122455433801],[0.8865428290206456],[6.8855244477882485],[5.228710671482966],[7.337417893263484],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 6: Fitness=63375.78, Cromosoma=[[[0.39755288814267264],[6.276603871530967],[6.136426383423331],[5.010873039839257],[0.4979856824389284],[2.5016074982098955],[0.8663636101073346],[7.106278293381367],[7.5415544093039175],[5.613607787435856],[8.722793707372379],[1.5225736784647992],[6.538603385326418],[4.979838928098172],[1.215831001151092],[4.060679785076168],[3.60875092340358],[9.535067699733803],[7.07201319580146],[7.2326907394169035],[1.9369052928924602],[6.998339394275808],[6.1122455433801],[0.8865428290206456],[6.8855244477882485],[5.228710671482966],[7.337417893263484],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 7: Fitness=65170.67, Cromosoma=[[[1.3009459451913419],[0.7016921990716207],[4.141445917990708],[8.748853185490582],[5.222089871335113],[3.9631290954729947],[2.5444820894773623],[8.017655875756889],[2.956793788394574],[6.9469381270432375],[4.033364498383333],[8.348604441364877],[6.631937660598963],[4.979838928098172],[5.106401029179607],[9.825609950014476],[2.1499829428287165],[4.804581588548855],[8.205356604245662],[2.521690172954727],[5.656984565827214],[2.1732384676128924],[2.576183180347591],[5.762702854896924],[3.0264905025168334],[4.394343471487777],[5.094496694457473],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 8: Fitness=65170.67, Cromosoma=[[[1.3009459451913419],[0.7016921990716207],[4.141445917990708],[8.748853185490582],[5.222089871335113],[3.9631290954729947],[2.5444820894773623],[8.017655875756889],[2.956793788394574],[6.9469381270432375],[4.033364498383333],[8.348604441364877],[6.631937660598963],[4.979838928098172],[5.106401029179607],[9.825609950014476],[2.1499829428287165],[4.804581588548855],[8.205356604245662],[2.521690172954727],[5.656984565827214],[2.1732384676128924],[2.576183180347591],[5.762702854896924],[3.0264905025168334],[4.394343471487777],[5.094496694457473],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 9: Fitness=65170.67, Cromosoma=[[[1.3009459451913419],[0.7016921990716207],[4.141445917990708],[8.748853185490582],[5.222089871335113],[3.9631290954729947],[2.5444820894773623],[8.017655875756889],[2.956793788394574],[6.9469381270432375],[4.033364498383333],[8.348604441364877],[6.631937660598963],[4.979838928098172],[5.106401029179607],[9.825609950014476],[2.1499829428287165],[4.804581588548855],[8.205356604245662],[2.521690172954727],[5.656984565827214],[2.1732384676128924],[2.576183180347591],[5.762702854896924],[3.0264905025168334],[4.394343471487777],[5.094496694457473],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 10: Fitness=65170.67, Cromosoma=[[[1.3009459451913419],[0.7016921990716207],[4.141445917990708],[8.748853185490582],[5.222089871335113],[3.9631290954729947],[2.5444820894773623],[8.017655875756889],[2.956793788394574],[6.9469381270432375],[4.033364498383333],[8.348604441364877],[6.631937660598963],[4.979838928098172],[5.106401029179607],[9.825609950014476],[2.1499829428287165],[4.804581588548855],[8.205356604245662],[2.521690172954727],[5.656984565827214],[2.1732384676128924],[2.576183180347591],[5.762702854896924],[3.0264905025168334],[4.394343471487777],[5.094496694457473],[1.5020526445795412],[3.140437452717557],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
Generación 11: Fitness=74400.00, Cromosoma=[[[5.449269900299923],[9.977142896555955],[7.072528343787017],[1.176833067797216],[2.7508276386753225],[4.748041828801695],[6.49310194347804],[7.106278293381367],[9.53394945085304],[3.5142646874784678],[1.5511431190029323],[6.642466089478152],[6.038798948390393],[5.683742211631303],[1.215831001151092],[4.060679785076168],[6.093106563911906],[4.439163142605395],[2.8454754292400173],[2.0719780696007906],[3.591449595421776],[6.998339394275808],[9.54272142731909],[3.918050772257027],[4.399297844893926],[1.1542984362554054],[7.337417893263484],[1.5020526445795412],[7.4173363995693204],[8.566552123695047],[0.18119686669690993],[5.004825220968277],[1.9596959337743924],[4.3869326759061575],[5.774854691151438],[3.1239862971982877],[0.44892967701408604],[0.026964159697017154],[8.45162306275158],[7.599787421733767],[6.903855000837885],[2.9024331428506867],[8.860304295572291],[8.663371530060163],[5.1269380032264085],[5.63063633725378],[1.1789229675424506],[9.042708871510122],[3.116879764453786],[0.8903034363468088],[1.175049379829951],[9.307773321853578],[0.2119720943872927],[0.915069759231123]]]
