Generacion,MejorFitness,PromFitness,Diversidad,Convergencia,GolesFavor,GolesContra,CpuPercent,MemMB,TimeSec,SlurmJobID,OSName,OSArch,OSVersion,SysCores,SysLoad,SysFreeMemMB,SysTotalMemMB
1,6811.4794,6345.0894,0.9800,6345.0894,0,17,0.00,54.64,38.56,local,Mac OS X,aarch64,15.2,8,11.84,73.16,8192.00
2,8727.9458,6457.9112,0.9800,112.8218,1,23,63.89,97.30,53.63,local,Mac OS X,aarch64,15.2,8,11.30,78.25,8192.00
3,8727.9458,6512.0392,0.9700,54.1280,1,23,59.45,45.32,71.69,local,Mac OS X,aarch64,15.2,8,11.42,63.78,8192.00
4,8945.2151,6572.7138,0.9100,60.6747,1,20,61.55,69.15,87.80,local,Mac OS X,aarch64,15.2,8,10.60,70.94,8192.00
5,8945.2151,6571.7119,0.9400,1.0019,1,20,65.94,48.24,102.77,local,Mac OS X,aarch64,15.2,8,10.18,64.52,8192.00
6,8945.2151,6756.3582,0.9500,184.6463,1,20,64.80,46.71,118.25,local,Mac OS X,aarch64,15.2,8,10.21,64.63,8192.00
7,8945.2151,6923.1729,0.9000,166.8147,1,20,62.14,126.93,133.87,local,Mac OS X,aarch64,15.2,8,9.96,138.44,8192.00
8,8945.2151,6999.8640,0.9500,76.6911,1,20,63.88,79.67,149.41,local,Mac OS X,aarch64,15.2,8,11.01,76.77,8192.00
9,8945.2151,6985.2007,0.9500,14.6632,1,20,63.01,156.69,165.19,local,Mac OS X,aarch64,15.2,8,10.74,165.31,8192.00
10,8945.2151,7114.5096,0.9500,129.3089,1,20,61.62,81.10,182.06,local,Mac OS X,aarch64,15.2,8,11.46,118.81,8192.00
11,8945.2151,6952.2785,0.9400,162.2311,1,20,63.34,53.86,197.09,local,Mac OS X,aarch64,15.2,8,12.46,90.63,8192.00
12,8945.2151,7084.8921,0.9400,132.6136,1,20,61.33,63.66,212.70,local,Mac OS X,aarch64,15.2,8,12.13,90.91,8192.00
13,8945.2151,7025.8448,0.9200,59.0473,1,20,63.36,100.45,227.26,local,Mac OS X,aarch64,15.2,8,10.75,68.00,8192.00
14,8945.2151,6828.9034,0.9800,196.9414,1,20,64.53,113.80,242.58,local,Mac OS X,aarch64,15.2,8,11.41,59.33,8192.00
15,8945.2151,6813.5378,0.9600,15.3656,1,20,62.60,111.99,257.17,local,Mac OS X,aarch64,15.2,8,11.60,104.75,8192.00
16,8945.2151,7101.5157,0.9400,287.9779,1,20,64.00,130.87,272.33,local,Mac OS X,aarch64,15.2,8,11.62,63.88,8192.00
17,8945.2151,6986.6919,0.9600,114.8239,1,20,65.18,60.26,287.34,local,Mac OS X,aarch64,15.2,8,10.76,92.83,8192.00
18,8945.2151,7016.1321,0.9300,29.4402,1,20,63.83,192.81,302.88,local,Mac OS X,aarch64,15.2,8,10.72,65.78,8192.00
19,8945.2151,6799.1270,0.9300,217.0051,1,20,65.16,148.21,317.83,local,Mac OS X,aarch64,15.2,8,10.75,58.55,8192.00
20,8945.2151,6752.1961,0.9200,46.9309,1,20,63.91,159.70,332.97,local,Mac OS X,aarch64,15.2,8,11.26,69.38,8192.00
21,8945.2151,6916.6747,0.9500,164.4786,1,20,63.38,97.37,347.70,local,Mac OS X,aarch64,15.2,8,10.80,91.16,8192.00
22,8945.2151,6904.2972,0.9600,12.3776,1,20,63.60,189.69,362.75,local,Mac OS X,aarch64,15.2,8,10.80,87.89,8192.00
23,8945.2151,6859.9656,0.9600,44.3315,1,20,64.94,62.71,377.57,local,Mac OS X,aarch64,15.2,8,10.05,64.88,8192.00
24,8945.2151,6860.7892,0.9400,0.8236,1,20,62.25,202.67,393.16,local,Mac OS X,aarch64,15.2,8,10.24,113.42,8192.00
25,8945.2151,6762.1295,0.9400,98.6597,1,20,63.35,86.46,408.11,local,Mac OS X,aarch64,15.2,8,10.51,68.05,8192.00
26,8945.2151,6917.3314,0.9500,155.2019,1,20,63.73,135.00,423.63,local,Mac OS X,aarch64,15.2,8,11.23,79.56,8192.00
27,8945.2151,6917.0193,0.9300,0.3120,1,20,64.51,149.87,438.51,local,Mac OS X,aarch64,15.2,8,10.80,99.27,8192.00
28,8945.2151,7041.2532,0.9500,124.2339,1,20,64.85,73.33,453.88,local,Mac OS X,aarch64,15.2,8,10.68,196.69,8192.00
29,9017.4218,6858.9538,0.9400,182.2993,1,19,65.19,141.04,469.01,local,Mac OS X,aarch64,15.2,8,10.96,166.56,8192.00
30,9017.4218,7109.8862,0.9300,250.9324,1,19,62.92,142.92,484.41,local,Mac OS X,aarch64,15.2,8,10.38,82.47,8192.00
31,9017.4218,7015.2188,0.9400,94.6675,1,19,64.97,143.77,498.87,local,Mac OS X,aarch64,15.2,8,11.08,68.38,8192.00
32,9017.4218,7138.7063,0.9400,123.4875,1,19,62.81,161.56,514.23,local,Mac OS X,aarch64,15.2,8,10.46,77.06,8192.00
33,9017.4218,6929.1024,0.9600,209.6039,1,19,65.56,96.14,529.36,local,Mac OS X,aarch64,15.2,8,10.38,240.61,8192.00
34,9017.4218,6838.8263,0.9500,90.2761,1,19,64.02,150.60,545.84,local,Mac OS X,aarch64,15.2,8,9.46,74.44,8192.00
35,9017.4218,6825.9985,0.9600,12.8278,1,19,64.66,175.19,561.22,local,Mac OS X,aarch64,15.2,8,9.89,114.58,8192.00
