Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,CPUs,Population Size,Mutation Rate,Crossover Rate
1,39.25,29.21,12.57,25.75,0.00,93.76,28.370,0,27,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
2,39.25,29.69,12.57,25.75,43.86,94.45,37.834,0,27,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
3,39.25,30.12,12.55,23.50,46.35,98.35,47.065,0,27,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
4,46.00,30.32,12.51,21.25,44.22,98.58,55.771,0,24,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
5,39.25,30.36,12.48,25.75,42.72,98.74,64.769,0,24,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
6,39.25,30.53,12.53,25.75,46.54,99.03,74.308,0,24,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
7,48.25,31.20,12.60,25.75,46.25,99.08,83.618,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
8,48.25,31.32,12.59,25.75,52.37,98.87,93.293,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
9,43.75,31.47,12.56,23.50,44.61,98.71,102.837,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
10,43.75,31.66,12.56,23.50,43.03,98.91,112.549,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
11,41.50,31.80,12.58,23.50,44.64,98.85,122.132,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
12,41.50,31.78,12.55,23.50,42.25,98.36,131.122,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
13,41.50,31.80,12.47,25.75,41.60,98.65,140.153,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
14,41.50,31.89,12.47,25.75,43.89,98.85,148.826,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
15,41.50,32.15,12.54,23.50,43.56,98.42,158.038,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
16,41.50,31.95,12.61,23.50,42.48,98.81,167.239,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
17,43.75,32.10,12.57,23.50,44.53,99.22,176.807,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
18,43.75,31.90,12.65,23.50,41.58,98.86,185.992,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
19,43.75,32.16,12.63,25.75,42.97,98.90,194.960,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
20,43.75,32.15,12.51,25.75,44.02,98.94,204.564,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
21,43.75,32.19,12.56,25.75,43.23,98.90,214.475,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
22,43.75,32.02,12.55,0.00,41.35,98.96,223.382,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
23,43.75,32.67,12.62,25.75,44.36,98.82,233.492,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
24,43.75,32.93,12.67,25.75,43.82,98.90,243.423,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
25,43.75,33.00,12.60,25.75,45.41,98.96,253.189,0,23,Mac OS X,15.4,17.0.8.1,8,300,0.40,0.70
