Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate
1,32.50,32.50,28.90,11.01,28.00,0.00,98.970,4.034,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
2,32.50,32.50,29.80,9.29,28.00,33.33,99.066,4.385,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
3,32.50,32.50,30.03,9.79,28.00,20.80,99.065,4.733,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
4,32.50,32.50,30.93,8.36,28.00,22.57,99.209,5.092,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
5,32.50,32.50,31.60,4.77,28.00,25.65,99.095,5.427,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
6,32.50,32.50,31.15,6.43,28.00,23.44,99.133,5.770,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
7,32.50,32.50,31.15,7.95,28.00,33.01,99.129,6.158,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
8,32.50,32.50,31.60,6.43,28.00,26.12,99.163,6.494,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
9,32.50,32.50,32.05,2.28,28.00,0.00,99.163,6.495,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
10,32.50,32.50,32.50,0.00,32.50,30.86,99.163,6.837,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
11,32.50,32.50,32.50,0.00,32.50,20.21,99.205,7.557,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
12,32.50,32.50,32.50,0.00,32.50,19.86,99.275,7.925,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
13,32.50,32.50,32.50,0.00,32.50,-100.00,99.223,8.296,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
14,32.50,32.50,32.50,0.00,32.50,21.08,99.200,8.643,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
15,32.50,32.50,32.50,2.07,32.50,25.78,98.850,9.323,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
16,32.50,32.50,32.05,2.07,28.00,21.01,98.873,9.676,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
17,32.50,32.50,32.05,2.34,28.00,21.48,98.936,10.030,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
18,32.50,32.50,31.15,5.45,28.00,0.00,98.936,10.031,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
19,32.50,32.50,30.25,7.68,28.00,20.61,98.924,10.401,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
20,32.50,32.50,31.15,6.17,28.00,18.03,98.926,10.772,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
21,32.50,32.50,30.25,7.68,28.00,21.03,98.856,11.136,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
22,32.50,32.50,30.25,6.49,28.00,22.76,98.851,11.498,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
23,32.50,32.50,31.60,4.15,28.00,-100.00,98.851,11.499,0,30,Mac OS X,15.4,17.0.8.1,aarch64,1,10,0.40,0.70
