Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate
1,39.25,39.25,29.08,12.56,25.75,32.14,83.056,16.999,0,27,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
2,37.00,39.25,29.53,12.62,28.00,20.20,84.760,23.534,0,27,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
3,37.00,39.25,29.76,12.67,25.75,13.89,84.385,29.494,0,27,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
4,37.00,39.25,30.18,12.58,25.75,15.23,84.056,34.834,0,27,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
5,39.25,39.25,30.60,12.56,25.75,18.08,84.298,40.149,0,27,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
6,46.00,46.00,31.29,12.47,28.00,16.37,84.303,45.919,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
7,46.00,46.00,31.68,12.39,28.00,13.15,83.678,51.839,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
8,46.00,46.00,31.83,12.46,25.75,15.93,83.554,58.200,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
9,46.00,46.00,33.10,12.28,28.00,16.82,83.706,63.730,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
10,46.00,46.00,33.04,12.26,28.00,17.08,83.947,69.474,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
11,46.00,46.00,34.12,12.09,28.00,15.36,83.488,74.948,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
12,46.00,46.00,34.71,12.20,28.00,10.37,83.509,80.891,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
13,46.00,46.00,34.78,12.09,25.75,11.72,83.557,87.081,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
14,46.00,46.00,34.84,12.24,25.75,11.22,83.667,93.202,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
15,46.00,46.00,34.48,12.32,25.75,15.87,84.138,99.424,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,150,0.40,0.70
