Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,3327.70,-218.87,0.90,-43034.08,0.00,97.73,35.17,0,39
2,82301.90,8020.60,0.84,-52651.43,81.79,98.46,45.42,0,15
3,83108.79,9807.21,0.86,-67474.47,76.91,98.66,54.10,0,15
4,83915.67,11157.64,0.84,-63270.53,79.72,98.68,62.92,0,15
5,84722.55,11694.51,0.84,-68797.50,84.52,98.39,74.19,0,15
6,85529.43,14896.44,0.78,-69459.01,78.48,98.54,82.95,0,15
7,86336.31,17414.03,0.74,-75180.34,80.78,99.27,92.13,0,15
8,87143.19,21270.70,0.72,-50885.76,83.19,99.15,102.05,0,15
9,87950.07,25689.46,0.64,-76598.83,83.74,99.19,111.89,0,15
10,88756.96,18158.48,0.72,-77308.08,81.02,99.24,121.56,0,15
11,89563.84,28458.51,0.70,-78017.33,85.99,99.11,131.60,0,15
12,90370.72,30141.14,0.72,-84079.92,84.33,99.24,141.56,0,15
13,91177.60,33331.12,0.80,-74089.61,75.98,99.09,150.07,0,15
14,91984.48,39994.10,0.80,-74751.13,74.12,98.59,158.55,0,15
15,92791.36,39488.64,0.82,-75412.64,73.91,98.61,166.56,0,15
16,93598.24,26946.34,0.82,-70641.85,78.69,98.26,175.23,0,15
17,94405.13,22267.63,0.84,-82272.82,78.74,99.06,184.60,0,15
18,95212.01,25550.94,0.88,-60992.25,78.68,98.76,194.52,0,15
19,96018.89,32840.69,0.80,-61513.55,82.03,98.96,205.33,0,15
20,96825.77,30259.47,0.78,-84400.56,80.96,99.12,216.08,0,15
21,123772.22,28226.93,0.80,-57068.14,81.95,99.26,227.40,0,1
22,124795.13,25924.23,0.80,-80043.24,85.73,99.01,240.52,0,1
23,125818.05,27623.12,0.80,-80704.76,82.83,99.21,252.98,0,1
24,126840.96,27602.21,0.74,-87237.56,83.48,99.15,264.85,0,1
25,127863.87,23203.79,0.80,-87237.56,82.96,99.21,276.92,0,1
26,128886.78,30604.21,0.80,-82689.30,84.08,99.17,288.89,0,1
27,129909.69,31816.14,0.74,-65683.96,88.07,97.85,302.95,0,1
28,130932.60,31621.17,0.74,-78013.17,84.11,99.25,316.71,0,1
29,131955.51,49140.55,0.70,-78627.45,84.72,99.20,330.68,0,1
30,132978.42,45739.71,0.72,-67247.86,84.80,98.99,343.96,0,1
31,134001.33,43358.63,0.78,-73780.00,91.75,99.10,368.76,0,1
32,135024.24,56799.18,0.78,-105611.82,92.76,98.71,391.60,0,1
33,136047.15,46550.12,0.84,-105611.82,85.37,99.21,405.99,0,1
34,137070.07,36387.86,0.82,-69333.07,83.71,98.33,418.68,0,1
35,138092.98,53814.25,0.78,-57665.67,82.67,99.18,430.59,0,1
