Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,58288.43,30624.64,0.88,-21031.13,[[[9.933616810808289],[4.925046495097521],[9.685399760209993],[2.6447575949570346],[3.7547476468836205],[3.729391928256305],[3.9931451887927114],[5.149132742462056],[6.928176806355295],[3.3806718960294937],[7.385871035516878],[7.367447382968381],[4.059892861570249],[9.90570345918623],[7.291104070149626],[9.09732228031569],[5.867285235879788],[9.671750011270614],[7.905564005020026],[1.7295828867996832],[7.808759844621561],[2.1515141343158053],[1.6172007316359405],[7.190483280206633],[2.896402124656948],[5.74736894299828],[4.8486825855964035],[6.718024941209579],[3.896774163037028],[1.484095210319235],[5.246909984599775],[3.918347853297436],[3.0719720676930273],[2.374801015707905],[4.9401532200701865],[6.944413842211095],[0.3475169493759711],[3.390611944491865],[4.6795083435942235],[3.813122572001167],[0.569125969375569],[4.033560885340471],[8.554728349030178],[1.871632407431053],[1.6312023943933363],[4.268989538844447],[4.999428679127772],[3.8436681160863806],[3.9240590860034286],[5.36402735205963],[7.827711434402891],[1.3099959754868429],[0.28212591836712986],[1.156726350678493]]]
2,69745.50,34285.65,0.86,-24704.62,[[[6.329754061921763],[8.142743860013725],[2.3716083006766295],[9.95639564377165],[3.3090230338729922],[5.906807393434987],[7.5726223334081055],[0.5919939227515036],[5.006963299818552],[0.5169491685495997],[7.561972014677739],[3.2548873580751536],[4.059892861570249],[3.110996663661696],[7.291104070149626],[2.731986292057896],[0.8045136150326548],[4.46351092810457],[3.243334658270014],[1.9523766393259],[2.0313615700049437],[5.186126753036062],[4.998148350934804],[5.173718185939143],[3.494988888288062],[9.708434368700857],[0.23923510161266148],[6.718024941209579],[8.243870416088289],[3.0993862181712286],[5.246909984599775],[8.295111104261618],[1.6247725941927371],[2.374801015707905],[7.075492825898849],[6.944413842211095],[0.3475169493759711],[9.098513724997757],[6.520306947645777],[9.783206220226123],[0.9831809544678183],[2.546135861777313],[8.554728349030178],[0.7130679394819206],[9.881922971841512],[6.073795223433192],[0.6093364259016965],[8.46948578120394],[5.585143806287731],[1.1293795160512887],[8.597607100313938],[1.799122986360835],[0.6359293357798979],[7.907295585787612]]]
3,69745.50,41259.52,0.82,-6782.41,[[[6.329754061921763],[8.142743860013725],[2.3716083006766295],[9.95639564377165],[3.3090230338729922],[5.906807393434987],[7.5726223334081055],[0.5919939227515036],[5.006963299818552],[0.5169491685495997],[7.561972014677739],[3.2548873580751536],[4.059892861570249],[3.110996663661696],[7.291104070149626],[2.731986292057896],[0.8045136150326548],[4.46351092810457],[3.243334658270014],[1.9523766393259],[2.0313615700049437],[5.186126753036062],[4.998148350934804],[5.173718185939143],[3.494988888288062],[9.708434368700857],[0.23923510161266148],[6.718024941209579],[8.243870416088289],[3.0993862181712286],[5.246909984599775],[8.295111104261618],[1.6247725941927371],[2.374801015707905],[7.075492825898849],[6.944413842211095],[0.3475169493759711],[9.098513724997757],[6.520306947645777],[9.783206220226123],[0.9831809544678183],[2.546135861777313],[8.554728349030178],[0.7130679394819206],[9.881922971841512],[6.073795223433192],[0.6093364259016965],[8.46948578120394],[5.585143806287731],[1.1293795160512887],[8.597607100313938],[1.799122986360835],[0.6359293357798979],[7.907295585787612]]]
4,69745.50,44390.72,0.82,72.14,[[[6.329754061921763],[8.142743860013725],[2.3716083006766295],[9.95639564377165],[3.3090230338729922],[5.906807393434987],[7.5726223334081055],[0.5919939227515036],[5.006963299818552],[0.5169491685495997],[7.561972014677739],[3.2548873580751536],[4.059892861570249],[3.110996663661696],[7.291104070149626],[2.731986292057896],[0.8045136150326548],[4.46351092810457],[3.243334658270014],[1.9523766393259],[2.0313615700049437],[5.186126753036062],[4.998148350934804],[5.173718185939143],[3.494988888288062],[9.708434368700857],[0.23923510161266148],[6.718024941209579],[8.243870416088289],[3.0993862181712286],[5.246909984599775],[8.295111104261618],[1.6247725941927371],[2.374801015707905],[7.075492825898849],[6.944413842211095],[0.3475169493759711],[9.098513724997757],[6.520306947645777],[9.783206220226123],[0.9831809544678183],[2.546135861777313],[8.554728349030178],[0.7130679394819206],[9.881922971841512],[6.073795223433192],[0.6093364259016965],[8.46948578120394],[5.585143806287731],[1.1293795160512887],[8.597607100313938],[1.799122986360835],[0.6359293357798979],[7.907295585787612]]]
5,69745.50,45877.86,0.74,-17401.99,[[[6.329754061921763],[8.142743860013725],[2.3716083006766295],[9.95639564377165],[3.3090230338729922],[5.906807393434987],[7.5726223334081055],[0.5919939227515036],[5.006963299818552],[0.5169491685495997],[7.561972014677739],[3.2548873580751536],[4.059892861570249],[3.110996663661696],[7.291104070149626],[2.731986292057896],[0.8045136150326548],[4.46351092810457],[3.243334658270014],[1.9523766393259],[2.0313615700049437],[5.186126753036062],[4.998148350934804],[5.173718185939143],[3.494988888288062],[9.708434368700857],[0.23923510161266148],[6.718024941209579],[8.243870416088289],[3.0993862181712286],[5.246909984599775],[8.295111104261618],[1.6247725941927371],[2.374801015707905],[7.075492825898849],[6.944413842211095],[0.3475169493759711],[9.098513724997757],[6.520306947645777],[9.783206220226123],[0.9831809544678183],[2.546135861777313],[8.554728349030178],[0.7130679394819206],[9.881922971841512],[6.073795223433192],[0.6093364259016965],[8.46948578120394],[5.585143806287731],[1.1293795160512887],[8.597607100313938],[1.799122986360835],[0.6359293357798979],[7.907295585787612]]]
6,69745.50,47404.82,0.68,-21031.13,[[[6.329754061921763],[8.142743860013725],[2.3716083006766295],[9.95639564377165],[3.3090230338729922],[5.906807393434987],[7.5726223334081055],[0.5919939227515036],[5.006963299818552],[0.5169491685495997],[7.561972014677739],[3.2548873580751536],[4.059892861570249],[3.110996663661696],[7.291104070149626],[2.731986292057896],[0.8045136150326548],[4.46351092810457],[3.243334658270014],[1.9523766393259],[2.0313615700049437],[5.186126753036062],[4.998148350934804],[5.173718185939143],[3.494988888288062],[9.708434368700857],[0.23923510161266148],[6.718024941209579],[8.243870416088289],[3.0993862181712286],[5.246909984599775],[8.295111104261618],[1.6247725941927371],[2.374801015707905],[7.075492825898849],[6.944413842211095],[0.3475169493759711],[9.098513724997757],[6.520306947645777],[9.783206220226123],[0.9831809544678183],[2.546135861777313],[8.554728349030178],[0.7130679394819206],[9.881922971841512],[6.073795223433192],[0.6093364259016965],[8.46948578120394],[5.585143806287731],[1.1293795160512887],[8.597607100313938],[1.799122986360835],[0.6359293357798979],[7.907295585787612]]]
7,71878.71,52673.34,0.58,-10277.43,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
8,71878.71,46196.08,0.66,-10277.43,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
9,71878.71,52299.56,0.64,3431.27,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
10,71878.71,51761.40,0.64,3431.27,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
11,71878.71,54718.80,0.62,-10277.43,[[[2.2058529005815153],[8.142743860013725],[3.5387586104390834],[0.8590894437908558],[9.290542922945766],[0.9380448858424795],[9.58212060886666],[9.447185347495758],[6.278379953197718],[1.5107384610761732],[3.3491104806420946],[6.428530884322111],[2.6208275021342553],[1.2207920620964674],[3.805103971423889],[5.15916460377211],[2.812754602815195],[3.273829369926257],[2.37480259913607],[1.9523766393259],[0.9624115976328873],[8.968044811288165],[8.267657008365427],[5.27306706887156],[9.346963351299198],[5.11302812634018],[0.23923510161266148],[6.718024941209579],[7.770845566316995],[0.5305159300063378],[2.075783032015426],[8.295111104261618],[0.24174951163603686],[8.9395776574036],[0.25619167304199775],[4.99975116656599],[0.3475169493759711],[0.2368824008164594],[6.520306947645777],[6.210273811741828],[4.209462527397493],[5.2449491972046065],[6.550099203621997],[7.012991017249691],[9.881922971841512],[4.579721042980502],[1.6033508008158281],[2.7456141175938606],[3.7981695995003353],[5.852791460588357],[4.798531492502008],[4.9867694944858165],[8.52343393585275],[2.4012401287791842]]]
