Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,39715.80,-218.87,0.90,-43034.08,[[[5.7568106885139905],[1.9048562568700544],[6.064099048499464],[8.2133732010764],[7.184167960497861],[6.451460808948971],[5.10655953688949],[5.02104552531354],[1.3709660550898806],[4.294654497681476],[1.9584746462490321],[8.668087034478035],[7.776926819058218],[6.834706944617683],[9.894014197287213],[9.90292640619894],[7.314064748543872],[6.690991768771748],[3.2538211566522834],[3.894976116090163],[2.6883203794590793],[0.049343496630830375],[9.670695028772593],[4.93651763203932],[6.7371689551520415],[3.454180524196121],[9.98665590867566],[7.9553322902141534],[6.488915189715624],[2.9213454757774793],[8.89809044609476],[4.051288038183449],[1.3470658422684512],[4.572764662395581],[8.770847546550673],[8.363189608234967],[3.559082772351434],[0.7670646887534383],[4.644124808760928],[5.671512876306872],[4.934662193634693],[1.6675749255286554],[8.586422285945762],[3.200491986257381],[0.5004228520137943],[5.560778215781176],[4.105421746329224],[8.898894473013799],[7.538600680209807],[2.319724602789771],[5.714754324939677],[3.5970660538313837],[8.689827860205906],[0.35493851651485]]]
2,81495.02,8020.60,0.84,-52651.43,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
3,81495.02,9807.21,0.86,-67474.47,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
4,81495.02,11157.64,0.84,-63270.53,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
5,81495.02,11694.51,0.84,-68797.50,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
6,84722.55,14896.44,0.78,-69459.01,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[6.306417796831804],[2.290580165798345],[3.037396611882297],[2.41484425693975],[7.31847079642491],[2.319724602789771],[5.714754324939677],[8.683203932371486],[6.650203700439338],[0.5254885584840618]]]
7,84722.55,17414.03,0.74,-75180.34,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[6.306417796831804],[2.290580165798345],[3.037396611882297],[2.41484425693975],[7.31847079642491],[2.319724602789771],[5.714754324939677],[8.683203932371486],[6.650203700439338],[0.5254885584840618]]]
8,86336.31,21270.70,0.72,-50885.76,[[[2.8059939908128593],[0.6758066566280441],[1.1050098880560355],[1.7573242692259283],[8.727214695739942],[3.098671799260501],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[6.000120919839835],[0.5621325706848346],[3.2901098527980577],[0.20217480637790608]]]
9,87143.19,25689.46,0.64,-76598.83,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
10,87950.07,18158.48,0.72,-77308.08,[[[0.30635326259247475],[1.7583811373562785],[9.51538907962672],[9.60769549190481],[1.7223061453986255],[1.8292026316491672],[9.003970855521427],[3.5576174789620096],[3.880550347945805],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[6.306417796831804],[2.290580165798345],[3.037396611882297],[2.41484425693975],[7.31847079642491],[2.319724602789771],[5.714754324939677],[8.683203932371486],[6.650203700439338],[7.8435081593319484]]]
11,88756.96,28458.51,0.70,-78017.33,[[[7.2837047147116785],[3.707666675959688],[9.51538907962672],[4.5273406235873495],[2.9114203215498993],[0.5500264425316381],[8.223626998706475],[9.447615412249736],[2.827140837984361],[7.691019874910502],[3.2577316271728773],[0.4217535572559272],[5.52120236350457],[0.110810629578586],[2.4541899519133095],[2.276047748336074],[0.807671528242675],[2.930362138013012],[7.464585092016623],[8.328408924415372],[8.792047981564586],[8.409422003230402],[6.020956093843597],[4.960610779232667],[8.187442373551614],[8.466467881940865],[9.281827950205923],[2.4560731662656976],[3.5592185592136714],[8.723464568492407],[8.350791451915411],[7.446870341006504],[5.358069062131286],[0.12081954496679814],[8.394187678595825],[2.3287660898616913],[1.8014676022539788],[4.5237455414096726],[8.381566952471664],[7.5616336578799626],[7.198285167218719],[0.121096883760613],[9.291100642335664],[3.7793857404450915],[5.065331614141078],[3.181091144893923],[3.974232354528522],[6.537945552090042],[4.598291356159453],[9.219978252087005],[2.7590116183993296],[3.0557496228716508],[3.8120411011350064],[9.662002866657282]]]
