Generación,Fitness Promedio,Mejor Fitness
1,535.06,945.00
2,555.86,945.00
3,652.13,945.00
4,705.47,965.00
5,679.55,1028.28
6,704.37,1065.00
7,708.29,1028.28
8,728.84,1028.28
9,740.65,1028.28
10,720.89,1028.28
11,748.16,1318.75
12,799.77,1056.59
13,806.40,1056.59
14,716.96,1138.75
15,763.79,1056.59
16,775.83,1056.59
17,809.30,1102.96
18,796.76,1102.96
19,787.46,1056.59
20,787.00,1116.59
21,754.11,1056.59
22,743.56,1042.96
23,725.07,1042.96
24,741.08,1042.96
25,800.11,1042.96
26,798.96,1102.96
27,790.57,1042.96
28,835.91,1102.96
29,805.92,1042.96
30,840.55,1042.96
31,770.83,1042.96
32,844.70,1102.96
33,831.08,1102.96
34,767.40,1042.96
35,795.27,1042.96
36,723.17,1042.96
37,752.88,1022.96
38,761.19,1036.59
Generación,Fitness Promedio,Mejor Fitness
1,515.32,962.96
2,585.00,922.96
3,591.94,916.59
4,605.88,982.96
5,690.84,1022.96
6,678.11,1022.96
7,656.28,1028.28
8,644.30,1016.59
9,709.03,1016.59
10,733.17,1016.59
11,708.59,1016.59
12,766.54,1016.59
13,689.17,1016.59
14,724.53,1016.59
15,769.79,1162.96
16,751.52,1162.96
17,744.76,1018.75
18,702.46,1002.96
19,736.08,1056.59
20,751.34,1258.75
21,728.45,1036.59
22,715.37,1005.00
23,808.64,1056.59
24,741.19,1116.59
25,737.10,1116.59
26,765.62,1116.59
27,806.13,1116.59
28,842.29,1116.59
29,822.54,1116.59
30,776.67,1116.59
31,851.59,1116.59
32,838.93,1116.59
33,868.22,1116.59
34,763.39,1116.59
Generación,Fitness Promedio,Mejor Fitness
1,625.83,925.00
2,668.00,942.96
3,619.88,942.96
4,642.76,942.96
5,647.61,1002.96
6,686.27,1022.96
7,738.76,1022.96
8,729.73,1022.96
9,677.41,945.00
10,745.06,945.00
11,749.62,965.00
12,723.24,982.96
13,707.99,982.96
14,759.67,1016.59
15,809.29,1042.96
16,754.16,1042.96
17,767.52,1102.96
18,739.90,1116.59
19,731.24,1048.28
Generación,Mejor Fitness,Mejora (%),Goles a Favor,Goles en Contra
1,965.0000,0.00,1,3
2,1065.0000,10.36,1,0
3,922.9584,-13.34,2,8
4,945.0000,2.39,1,4
5,965.0000,2.12,1,3
6,965.0000,0.00,1,3
7,965.0000,0.00,1,3
8,985.0000,2.07,1,2
9,985.0000,0.00,1,2
10,1102.9584,11.98,2,1
11,1102.9584,0.00,2,1
