Generación,Fitness Promedio,Mejor Fitness,Goles Favor,Goles Contra,Diferencia de Goles
1,566.50,700.00,2,15,-13
2,573.00,725.00,0,18,-18
3,670.00,775.00,0,12,-12
4,720.00,775.00,0,8,-8
5,719.50,840.00,1,18,-17
6,596.50,800.00,0,10,-10
7,638.00,825.00,0,12,-12
8,662.00,800.00,0,9,-9
9,660.00,800.00,0,26,-26
10,722.00,800.00,0,14,-14
11,730.00,800.00,0,6,-6
12,750.00,890.00,0,13,-13
13,772.50,890.00,1,5,-4
14,768.50,890.00,0,12,-12
15,768.00,890.00,0,7,-7
16,733.00,890.00,0,12,-12
17,785.50,890.00,0,4,-4
18,725.00,890.00,2,17,-15
19,744.50,840.00,1,14,-13
20,725.50,900.00,0,14,-14
21,615.50,800.00,0,10,-10
22,679.00,825.00,0,9,-9
23,724.50,940.00,0,11,-11
24,689.00,915.00,0,6,-6
25,769.50,915.00,0,7,-7
26,828.00,915.00,0,6,-6
27,813.27,1117.73,0,5,-5
28,887.27,1117.73,0,10,-10
29,850.27,1117.73,0,7,-7
30,815.50,955.00,1,19,-18
31,864.00,980.00,2,2,0
32,726.00,895.00,3,6,-3
33,801.00,895.00,3,6,-3
34,733.50,895.00,0,18,-18
35,767.50,925.00,0,1,-1
36,711.50,900.00,0,9,-9
37,827.00,905.00,0,9,-9
38,688.50,940.00,0,24,-24
39,681.00,955.00,0,5,-5
40,811.00,980.00,2,2,0
41,808.00,940.00,0,10,-10
42,750.50,925.00,0,8,-8
43,726.50,925.00,0,17,-17
44,704.00,800.00,0,12,-12
45,703.00,800.00,0,19,-19
46,638.00,800.00,0,6,-6
47,681.50,875.00,0,7,-7
48,719.00,875.00,0,16,-16
49,737.50,875.00,0,8,-8
50,757.50,875.00,0,8,-8
51,677.00,890.00,0,21,-21
52,691.50,875.00,0,9,-9
53,798.50,915.00,0,5,-5
54,744.00,900.00,0,25,-25
55,766.50,900.00,0,14,-14
56,737.00,915.00,0,11,-11
57,718.50,840.00,0,15,-15
58,689.00,825.00,0,5,-5
59,762.00,900.00,1,6,-5
60,730.50,900.00,2,7,-5
61,658.00,875.00,1,18,-17
62,745.50,875.00,1,11,-10
63,751.50,825.00,0,7,-7
64,760.50,890.00,0,5,-5
65,756.00,855.00,0,9,-9
66,728.00,890.00,0,22,-22
67,732.00,865.00,0,9,-9
68,705.50,875.00,0,12,-12
69,694.50,825.00,2,9,-7
70,689.50,940.00,0,15,-15
71,602.50,805.00,0,19,-19
72,611.50,805.00,1,13,-12
73,671.00,905.00,2,5,-3
74,676.00,875.00,2,14,-12
75,551.50,800.00,0,17,-17
76,624.00,800.00,0,20,-20
77,638.00,850.00,0,15,-15
78,748.50,900.00,0,2,-2
79,694.00,880.00,0,10,-10
80,690.00,880.00,0,17,-17
81,691.50,850.00,0,15,-15
82,711.50,875.00,1,15,-14
83,620.00,850.00,0,22,-22
84,739.50,865.00,0,5,-5
85,771.50,865.00,0,5,-5
86,749.50,875.00,1,11,-10
87,720.50,825.00,0,8,-8
88,736.50,825.00,0,5,-5
89,769.00,915.00,0,12,-12
90,745.00,825.00,0,5,-5
91,770.00,850.00,0,15,-15
92,705.50,850.00,0,5,-5
93,746.50,925.00,0,8,-8
94,685.00,925.00,0,5,-5
95,765.00,940.00,2,10,-8
96,693.50,955.00,0,13,-13
97,697.00,775.00,0,8,-8
98,737.00,890.00,0,15,-15
99,654.50,815.00,1,12,-11
100,671.50,800.00,1,14,-13
