Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,99.42,63.70505266604624,1.2762526652448845,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,95.33,100.0
2,36696,100.0,64.05189489818949,1.2848468147135743,0,18,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,33875,97.25,61.406037646033575,1.144739709043733,0,25,8,500,97.01,100.0,100.0,95.15,100.0,91.49,100.0,94.37
4,33875,99.6,60.98287573450296,1.2024593162574453,0,25,8,500,100.0,100.0,100.0,100.0,100.0,96.84,100.0,100.0
5,33875,99.51,63.496855591135954,1.2245784900781078,0,25,8,500,96.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,33875,99.93,62.28676991750058,1.1825631447168088,0,25,8,500,99.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,34278,98.38,61.357419151989056,1.2328727959049846,0,24,8,500,100.0,93.5,100.0,97.47,100.0,97.59,98.51,100.0
8,33875,96.6,61.7437156201624,1.210408883993429,0,25,8,500,100.0,96.5,100.0,91.53,100.0,89.47,100.0,95.29
9,33875,99.75,63.09451838055829,1.3651043969629784,0,25,8,500,97.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,33875,99.03,62.70073583664748,1.2199158430232144,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.22
11,33875,98.04,61.29930616177066,1.2814836345856695,0,25,8,500,100.0,100.0,100.0,95.56,92.72,100.0,100.0,96.07
12,33875,99.13,61.78265196890639,1.2421363023916596,0,25,8,500,97.11,100.0,100.0,97.18,100.0,100.0,100.0,98.75
13,33875,99.82,63.01024657424908,1.2350974769675191,0,25,8,500,100.0,100.0,100.0,100.0,98.53,100.0,100.0,100.0
14,33875,98.63,61.77194677961164,1.1840445864967224,0,25,8,500,100.0,100.0,100.0,98.48,100.0,96.4,94.16,100.0
15,33875,99.84,62.03077053208392,1.1826965581003184,0,25,8,500,100.0,98.74,100.0,100.0,100.0,100.0,100.0,100.0
16,33875,98.7,61.295552590572974,1.1037843429105223,0,25,8,500,95.55,100.0,100.0,96.08,100.0,100.0,97.93,100.0
17,33875,98.66,62.68375452153845,1.2789400215210944,0,25,8,500,95.22,100.0,100.0,100.0,96.15,100.0,97.9,100.0
18,33875,100.0,63.57810819174714,1.2516070534845452,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19,33875,97.99,61.27541853101253,1.237050837150705,0,25,8,500,91.62,100.0,96.33,100.0,100.0,95.97,100.0,100.0
20,33875,99.23,61.86398245420188,1.2145663023621576,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,93.85,100.0
21,34681,98.23,62.66047564547772,1.1883359061700949,0,23,8,500,100.0,100.0,92.68,100.0,100.0,95.42,100.0,97.75
22,33875,99.5,61.7995102676051,1.263407218109138,0,25,8,500,100.0,100.0,95.97,100.0,100.0,100.0,100.0,100.0
