Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate
1,32976.00,32976.00,22314.11,12.75,6396.50,27.65,84.653,18.147,0,16,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
2,33477.50,33477.50,22374.29,12.73,5393.50,13.16,84.906,24.687,0,15,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
3,32976.00,33477.50,22710.30,12.58,880.00,14.79,85.065,30.350,0,15,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
4,35985.00,35985.00,23858.73,12.55,10408.50,13.91,84.947,35.745,0,10,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
5,39495.50,39495.50,25879.78,12.46,378.50,30.88,85.110,41.267,0,3,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
6,32976.00,39495.50,26496.62,12.29,3889.00,18.90,85.213,47.208,0,3,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
7,33979.00,39495.50,26697.22,12.42,3889.00,14.00,84.857,53.477,0,3,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
8,40498.50,40498.50,28537.73,12.30,3889.00,14.95,84.785,58.822,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
9,33477.50,40498.50,28653.07,12.37,378.50,12.15,84.669,64.148,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
10,33477.50,40498.50,27424.40,12.33,-2630.50,11.42,84.630,69.593,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
11,33477.50,40498.50,28136.53,12.14,4892.00,16.92,84.669,74.975,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
12,36486.50,40498.50,29276.16,12.10,0.00,24.17,85.185,80.747,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
13,36486.50,40498.50,28592.89,12.08,1883.00,12.60,84.748,86.359,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
14,36486.50,40498.50,28537.73,12.02,-624.50,15.73,84.597,91.827,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
15,39495.50,40498.50,29139.53,12.08,8904.00,13.62,85.034,97.304,0,1,Mac OS X,15.4,17.0.8.1,aarch64,8,100,0.40,0.80
