Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,Chromosoma,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,44653.20,44653.20,42787.37,255.68,39279.20,0.00,85.218,222.220,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,44653.20,44653.20,43162.78,255.37,39279.20,69.34,85.632,298.567,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,66.14,61.70,58.47,55.83,87.09,81.60,75.74,68.28
3,44653.20,44653.20,43369.56,253.11,39279.20,52.70,85.233,359.669,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,62.82,55.84,52.32,49.71,54.52,50.98,48.48,46.97
4,44653.20,44653.20,43458.43,229.23,39128.40,52.77,83.351,418.731,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,64.06,59.68,54.42,49.09,52.23,49.39,47.31,46.29
5,44653.20,44653.20,43882.86,184.29,39882.40,52.92,84.812,478.195,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,61.97,56.34,51.45,48.93,54.68,53.03,49.48,47.49
6,44653.20,44653.20,43881.16,186.39,39580.80,47.46,85.304,536.161,2,11,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,56.86,49.49,44.96,41.80,48.99,47.70,45.45,44.56
7,44653.20,44653.20,43759.65,201.08,39430.00,48.78,85.142,595.234,2,11,"49.49",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,58.56,51.84,47.20,44.49,49.53,47.70,46.10,44.86
8,44706.00,44706.00,43859.24,211.60,39430.00,49.89,85.493,653.295,3,15,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,58.21,50.70,47.49,44.02,53.12,50.50,48.23,46.98
9,44706.00,44706.00,43764.06,218.84,39279.20,42.50,85.432,712.192,3,15,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,48.43,37.34,33.73,30.13,50.08,48.79,46.25,45.20
10,44706.00,44706.00,43700.85,222.38,39430.00,46.70,85.148,770.700,3,15,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,53.05,44.78,40.79,37.83,51.59,52.14,47.42,46.01
11,44706.00,44706.00,43814.55,222.69,39580.80,44.40,83.867,830.415,3,15,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,51.77,40.70,35.91,33.36,51.06,48.81,47.25,46.22
12,44706.00,44706.00,43910.67,189.86,39430.00,40.47,85.331,888.993,3,15,"54.59",Mac OS X,15.4,17.0.8.1,aarch64,1,300,0.45,0.85,47.23,34.24,30.42,27.58,49.30,46.32,44.76,43.77
