---,AIKHomoG,BasicTeam,BrianTeam,BriSpec,CDTeamHetero,CommTeam,DaveHeteroG,DoogHeteroG,DoogHomoG,DTeam,FemmeBotsHeteroG,GoToBall,JunTeamHeteroG,Kechze,LoneForwardTeamHomoG,MattiHetero,PermHomoG,SchemaDemo,SchemaNewHetero,SibHeteroG
AIKHomoG,x,21,20,10,13,21,8,6,5,3,1,18,28,8,7,7,2,1,1,7
BasicTeam,0,x,7,1,3,16,0,1,0,0,1,11,6,9,2,7,2,1,1,1
BrianTeam,0,11,x,1,12,18,1,1,1,0,0,0,18,0,1,0,0,1,1,0
BriSpec,0,15,3,x,7,11,0,3,2,0,1,0,18,0,0,7,0,7,5,0
CDTeamHetero,0,14,5,0,x,7,0,1,0,0,2,1,1,1,1,7,2,1,1,1
CommTeam,0,8,6,0,2,x,0,2,3,0,1,11,6,9,2,7,2,1,1,1
DaveHeteroG,0,4,16,1,9,3,x,0,1,1,0,0,33,1,2,7,0,1,1,0
DoogHeteroG,1,21,26,7,9,16,14,x,2,14,7,2,32,4,2,5,0,1,1,5
DoogHomoG,2,16,26,4,10,18,9,8,x,8,1,23,30,10,0,7,2,1,1,3
DTeam,0,11,4,0,1,11,5,0,0,x,2,15,8,0,0,7,4,1,1,0
FemmeBotsHeteroG,0,9,0,1,0,9,0,0,0,0,x,6,10,0,1,7,1,0,1,0
GoToBall,0,4,0,0,0,4,0,0,0,0,0,x,15,4,1,14,0,1,1,0
JunTeamHeteroG,0,12,2,3,4,12,1,0,0,4,0,12,x,5,5,7,3,1,1,1
Kechze,0,18,0,3,10,18,9,2,0,4,0,23,20,x,3,7,1,1,1,4
LoneForwardTeamHomoG,2,5,12,0,12,5,1,2,3,2,0,2,30,0,x,7,0,1,1,1
MattiHetero,4,0,0,0,1,2,0,0,2,5,0,0,1,1,1,x,0,7,7,0
PermHomoG,0,8,3,0,1,8,0,0,0,0,0,3,4,3,0,0,x,0,1,0
SchemaDemo,3,6,2,4,1,2,2,6,6,3,1,4,1,4,5,1,0,x,1,1
SchemaNewHetero,14,3,4,2,4,2,6,10,2,3,7,2,5,3,13,14,2,5,x,0
SibHeteroG,3,25,16,0,6,25,4,5,1,0,0,18,10,5,2,0,0,2,0,x
