---,SchemaDemo,CDTeamHetero,DaveHeteroG,PermHomoG,DTeam,LoneForwardTeamHomoG,CommTeam,FemmeBotsHeteroG,JunTeamHeteroG,BriSpec,DoogHomoG,BasicTeam,SchemaNewHetero,DoogHeteroG,GoToBall,MattiHetero,Kechze,BrianTeam,SibHeteroG,AIKHomoG
SchemaDemo,x,1,1,1,1,1,1,1,1,3,1,1,1,1,1,7,1,1,1,1
CDTeamHetero,2,x,1,2,0,4,11,0,6,0,0,11,1,0,2,7,2,1,0,0
DaveHeteroG,3,12,x,0,0,2,0,0,27,2,2,1,1,1,0,0,2,17,0,3
PermHomoG,2,4,0,x,2,0,2,0,2,1,0,2,1,0,0,0,0,3,0,0
DTeam,1,2,0,0,x,0,11,0,2,9,1,11,1,2,22,7,0,10,3,0
LoneForwardTeamHomoG,1,18,1,0,1,x,8,0,40,0,3,8,1,3,0,7,4,17,0,3
CommTeam,2,1,0,2,0,0,x,0,6,0,0,16,1,0,7,10,3,6,1,1
FemmeBotsHeteroG,4,2,0,1,0,0,17,x,16,1,1,18,1,1,1,5,2,7,1,1
JunTeamHeteroG,16,2,1,0,0,0,13,1,x,1,0,17,1,0,5,7,0,11,1,0
BriSpec,1,6,1,0,0,0,12,1,1,x,0,9,6,0,3,0,5,3,0,0
DoogHomoG,4,10,6,3,7,1,12,12,33,7,x,15,1,5,18,7,7,21,4,0
BasicTeam,22,1,0,2,0,0,9,1,9,0,0,x,1,1,7,7,3,6,1,1
SchemaNewHetero,5,3,8,2,2,14,2,4,1,1,8,8,x,1,1,5,1,1,1,1
DoogHeteroG,5,10,14,0,12,1,12,14,31,14,2,15,1,x,13,5,3,37,6,1
GoToBall,18,1,1,0,0,0,5,0,7,0,0,5,22,1,x,5,3,3,0,1
MattiHetero,0,0,0,0,7,0,2,0,3,0,4,0,1,2,0,x,7,0,5,1
Kechze,2,6,8,0,20,0,24,3,5,16,0,24,6,6,17,2,x,26,4,2
BrianTeam,13,5,3,2,1,2,19,0,5,1,1,19,10,2,1,29,0,x,0,1
SibHeteroG,1,7,0,0,5,1,21,3,19,0,2,21,1,3,5,1,7,18,x,2
AIKHomoG,0,12,7,3,6,3,21,9,22,3,8,21,2,7,22,5,6,22,1,x
