---,SchemaDemo,CDTeamHetero,DaveHeteroG,PermHomoG,DTeam,LoneForwardTeamHomoG,CommTeam,FemmeBotsHeteroG,JunTeamHeteroG,BriSpec,DoogHomoG,BasicTeam,SchemaNewHetero,DoogHeteroG,GoToBall,MattiHetero,Kechze,BrianTeam,SibHeteroG,AIKHomoG
SchemaDemo,x,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1
CDTeamHetero,1,x,-1,0,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1
DaveHeteroG,0,1,x,1,1,1,1,1,1,-1,-1,1,-1,-1,0,-1,-1,1,-1,-1
PermHomoG,0,0,-1,x,0,0,1,0,1,0,-1,1,-1,-1,0,0,0,0,-1,-1
DTeam,1,1,-1,0,x,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,0,1
LoneForwardTeamHomoG,1,1,-1,0,1,x,1,1,1,1,1,1,-1,1,0,1,1,1,-1,-1
CommTeam,1,-1,-1,-1,-1,-1,x,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,-1
FemmeBotsHeteroG,-1,1,-1,0,-1,-1,1,x,1,1,-1,1,-1,-1,1,0,1,1,0,-1
JunTeamHeteroG,1,-1,-1,-1,-1,-1,1,-1,x,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
BriSpec,1,1,1,0,-1,-1,1,-1,1,x,-1,1,-1,-1,1,1,-1,1,0,-1
DoogHomoG,1,1,1,1,1,-1,1,1,1,1,x,1,-1,0,1,1,1,1,1,-1
BasicTeam,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,x,-1,-1,1,1,-1,1,0,-1
SchemaNewHetero,1,1,1,1,1,1,1,1,1,1,1,1,x,-1,-1,1,-1,-1,1,0
DoogHeteroG,1,1,1,1,1,-1,1,1,1,1,0,1,1,x,1,1,1,1,1,-1
GoToBall,1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,x,1,-1,-1,-1,-1
MattiHetero,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,x,1,-1,1,-1
Kechze,1,1,1,0,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,x,1,0,-1
BrianTeam,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,x,-1,-1
SibHeteroG,0,1,1,1,0,1,0,0,1,0,-1,0,-1,-1,1,-1,0,1,x,-1
AIKHomoG,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,x
