Generacion,MejorFitness,PromFitness,Diversidad,Convergencia,GolesFavor,GolesContra,CpuPercent,MemMB,TimeSec,SlurmJobID,OSName,OSArch,OSVersion,SysCores,SysLoad,SysFreeMemMB,SysTotalMemMB
1,7593.6760,5818.0626,0.9500,0.0000,0,24,0.00,120.96,67.78,local,Mac OS X,aarch64,15.2,8,18.76,75.08,8192.00
2,7593.6760,5946.4503,0.9400,0.0000,0,24,27.65,73.27,120.02,local,Mac OS X,aarch64,15.2,8,24.36,171.33,8192.00
3,7593.6760,5928.3114,0.9300,0.0000,0,24,43.13,54.35,149.51,local,Mac OS X,aarch64,15.2,8,23.03,72.31,8192.00
4,7713.8012,5981.6564,0.9300,0.0000,0,23,49.55,153.31,175.95,local,Mac OS X,aarch64,15.2,8,21.47,103.47,8192.00
5,7713.8012,6066.8344,0.9400,0.0000,0,23,45.57,141.86,204.11,local,Mac OS X,aarch64,15.2,8,19.51,76.56,8192.00
6,10344.4394,6052.5089,0.9200,0.0000,0,4,56.15,184.72,225.84,local,Mac OS X,aarch64,15.2,8,18.06,60.69,8192.00
7,10344.4394,6066.1005,0.9100,0.0000,0,4,58.49,53.52,248.47,local,Mac OS X,aarch64,15.2,8,16.49,75.70,8192.00
8,10344.4394,6355.7954,0.9000,0.0000,0,4,59.39,101.66,269.97,local,Mac OS X,aarch64,15.2,8,15.84,65.70,8192.00
9,10344.4394,6289.2508,0.9400,0.0000,0,4,58.18,47.86,291.25,local,Mac OS X,aarch64,15.2,8,15.05,60.67,8192.00
10,10344.4394,6116.9925,0.9500,0.0000,0,4,58.57,192.33,313.90,local,Mac OS X,aarch64,15.2,8,14.61,59.34,8192.00
11,10344.4394,6039.7663,0.9300,0.0000,0,4,58.29,126.45,333.69,local,Mac OS X,aarch64,15.2,8,13.97,73.50,8192.00
12,10344.4394,5994.0307,0.9300,0.0000,0,4,64.29,66.82,352.64,local,Mac OS X,aarch64,15.2,8,14.43,83.27,8192.00
13,10344.4394,6083.5458,0.9300,0.0000,0,4,64.33,203.01,370.62,local,Mac OS X,aarch64,15.2,8,13.58,59.34,8192.00
14,10344.4394,5993.1156,0.9200,0.0000,0,4,63.08,134.42,386.63,local,Mac OS X,aarch64,15.2,8,14.83,74.63,8192.00
15,10344.4394,5871.6770,0.9700,0.0000,0,4,60.89,97.70,407.16,local,Mac OS X,aarch64,15.2,8,14.36,84.36,8192.00
16,10344.4394,5774.9196,0.9200,0.0000,0,4,61.24,128.52,427.15,local,Mac OS X,aarch64,15.2,8,13.57,85.50,8192.00
17,10344.4394,5798.5226,0.9300,0.0000,0,4,57.88,147.46,450.01,local,Mac OS X,aarch64,15.2,8,13.82,64.72,8192.00
