Generación,Mejor Fitness,Prom Fitness,Peor Fitness,Goles Favor,Goles Contra,Mutación (%),Cruzamiento (%),CPU (%),Memoria (MB),Tiempo (s),OS,Arquitectura,Versión,Entorno
1,7720.0000,6353.9000,4205.0000,0,36,52.00,79.00,0.00,127.74,69.18,Mac OS X,aarch64,15.2,Local
2,7720.0000,6332.0500,4205.0000,0,34,54.00,78.00,59.20,12.47,85.03,Mac OS X,aarch64,15.2,Local
3,7720.0000,6443.2000,4205.0000,0,39,56.00,77.00,56.83,89.93,102.18,Mac OS X,aarch64,15.2,Local
4,7720.0000,6268.4000,4205.0000,0,42,58.00,76.00,62.89,144.18,117.11,Mac OS X,aarch64,15.2,Local
5,7720.0000,6316.8500,4205.0000,0,42,60.00,75.00,66.27,44.30,129.84,Mac OS X,aarch64,15.2,Local
6,7720.0000,6324.4500,4205.0000,0,47,60.00,74.00,65.79,55.04,143.04,Mac OS X,aarch64,15.2,Local
7,7720.0000,6483.1000,4205.0000,0,33,60.00,73.00,62.53,75.35,156.87,Mac OS X,aarch64,15.2,Local
8,7720.0000,6535.3500,4205.0000,0,35,60.00,72.00,66.07,19.69,168.85,Mac OS X,aarch64,15.2,Local
9,7720.0000,6387.1500,4205.0000,0,34,60.00,71.00,62.68,37.09,182.85,Mac OS X,aarch64,15.2,Local
10,7720.0000,6380.4500,4205.0000,0,49,60.00,70.00,63.56,66.38,197.00,Mac OS X,aarch64,15.2,Local
11,7720.0000,6481.1500,4205.0000,0,47,60.00,69.00,65.67,135.61,209.75,Mac OS X,aarch64,15.2,Local
12,7720.0000,6434.6000,4205.0000,0,30,60.00,68.00,63.02,131.38,223.26,Mac OS X,aarch64,15.2,Local
13,7815.0000,6511.6000,4205.0000,0,39,60.00,67.00,63.19,78.20,236.74,Mac OS X,aarch64,15.2,Local
14,7720.0000,6439.4000,3920.0000,0,40,60.00,66.00,61.88,158.00,250.22,Mac OS X,aarch64,15.2,Local
15,8480.0000,6452.7000,3920.0000,0,38,60.00,65.00,62.31,124.76,263.64,Mac OS X,aarch64,15.2,Local
16,7720.0000,6439.4000,3920.0000,0,38,60.00,64.00,64.06,133.10,277.03,Mac OS X,aarch64,15.2,Local
17,7910.0000,6328.2500,3920.0000,0,51,60.00,63.00,65.07,104.77,289.47,Mac OS X,aarch64,15.2,Local
18,7910.0000,6349.1500,3920.0000,0,38,60.00,62.00,67.72,43.98,301.29,Mac OS X,aarch64,15.2,Local
19,7720.0000,6253.2000,3920.0000,0,31,60.00,61.00,61.33,111.27,315.53,Mac OS X,aarch64,15.2,Local
20,7720.0000,6311.1500,3920.0000,0,38,60.00,60.00,66.10,98.97,328.15,Mac OS X,aarch64,15.2,Local
21,7720.0000,6170.5500,3920.0000,0,31,60.00,59.00,66.31,125.22,340.48,Mac OS X,aarch64,15.2,Local
22,7720.0000,6350.1000,3920.0000,0,38,60.00,58.00,63.40,107.00,353.91,Mac OS X,aarch64,15.2,Local
23,7340.0000,6380.5000,3920.0000,0,42,60.00,57.00,67.50,184.72,365.66,Mac OS X,aarch64,15.2,Local
24,7340.0000,6361.5000,3920.0000,0,53,60.00,56.00,63.14,157.45,379.60,Mac OS X,aarch64,15.2,Local
25,7435.0000,6348.2000,3920.0000,0,54,60.00,55.00,63.77,93.68,393.15,Mac OS X,aarch64,15.2,Local
26,7435.0000,6323.5000,3920.0000,0,32,60.00,54.00,64.73,173.47,407.47,Mac OS X,aarch64,15.2,Local
27,7530.0000,6388.1000,3920.0000,0,35,60.00,53.00,63.36,92.26,420.62,Mac OS X,aarch64,15.2,Local
28,7625.0000,6394.7500,3920.0000,0,40,60.00,52.00,62.90,55.28,434.07,Mac OS X,aarch64,15.2,Local
29,7625.0000,6408.0500,3920.0000,0,33,60.00,51.00,62.70,69.27,447.48,Mac OS X,aarch64,15.2,Local
30,7530.0000,6453.6500,3920.0000,0,34,60.00,50.00,62.24,107.46,461.19,Mac OS X,aarch64,15.2,Local
31,7530.0000,6454.6000,3920.0000,0,46,60.00,50.00,62.07,101.72,474.93,Mac OS X,aarch64,15.2,Local
32,7530.0000,6403.3000,3920.0000,0,37,60.00,50.00,63.47,197.91,488.04,Mac OS X,aarch64,15.2,Local
33,7530.0000,6436.5500,3635.0000,0,33,60.00,50.00,62.70,133.66,501.55,Mac OS X,aarch64,15.2,Local
34,8575.0000,6375.7500,3635.0000,0,37,60.00,50.00,60.60,156.45,516.26,Mac OS X,aarch64,15.2,Local
35,7625.0000,6446.0500,3635.0000,0,41,60.00,50.00,57.37,157.67,531.59,Mac OS X,aarch64,15.2,Local
36,7720.0000,6416.6000,3635.0000,0,48,60.00,50.00,61.28,189.95,546.07,Mac OS X,aarch64,15.2,Local
37,7530.0000,6402.3500,3635.0000,0,41,60.00,50.00,63.12,219.33,559.61,Mac OS X,aarch64,15.2,Local
38,7530.0000,6426.1000,3635.0000,0,30,60.00,50.00,63.09,192.98,573.05,Mac OS X,aarch64,15.2,Local
39,7530.0000,6364.3500,3635.0000,0,38,60.00,50.00,63.56,208.33,586.31,Mac OS X,aarch64,15.2,Local
40,7530.0000,6416.6000,3635.0000,0,46,60.00,50.00,68.31,186.10,598.12,Mac OS X,aarch64,15.2,Local
41,7720.0000,6406.1500,3635.0000,0,24,60.00,50.00,66.40,90.27,610.25,Mac OS X,aarch64,15.2,Local
42,7910.0000,6376.7000,2780.0000,0,38,60.00,50.00,61.79,104.02,623.41,Mac OS X,aarch64,15.2,Local
43,7910.0000,6514.4500,2780.0000,0,38,60.00,50.00,64.35,146.10,634.06,Mac OS X,aarch64,15.2,Local
44,7910.0000,6262.7000,2780.0000,0,37,60.00,50.00,63.91,181.82,647.58,Mac OS X,aarch64,15.2,Local
45,7720.0000,6243.7000,2780.0000,0,39,60.00,50.00,64.84,130.58,659.76,Mac OS X,aarch64,15.2,Local
46,8670.0000,6222.8000,2780.0000,0,42,60.00,50.00,64.82,135.46,672.36,Mac OS X,aarch64,15.2,Local
47,7530.0000,6175.3000,2780.0000,0,38,60.00,50.00,62.42,95.74,685.51,Mac OS X,aarch64,15.2,Local
48,7530.0000,6144.9000,2780.0000,0,27,60.00,50.00,63.24,98.59,698.66,Mac OS X,aarch64,15.2,Local
49,7530.0000,6280.7500,2780.0000,0,35,60.00,50.00,63.35,174.40,711.35,Mac OS X,aarch64,15.2,Local
50,7530.0000,6252.2500,2780.0000,0,42,60.00,50.00,62.81,198.24,724.24,Mac OS X,aarch64,15.2,Local
51,7530.0000,6413.7500,2780.0000,0,41,60.00,50.00,64.97,206.30,735.24,Mac OS X,aarch64,15.2,Local
52,7530.0000,6339.6500,2780.0000,0,38,60.00,50.00,63.05,152.01,748.44,Mac OS X,aarch64,15.2,Local
53,7530.0000,6144.9000,2780.0000,0,39,60.00,50.00,66.77,215.81,760.12,Mac OS X,aarch64,15.2,Local
54,8005.0000,6243.7000,2780.0000,0,37,60.00,50.00,63.30,213.67,773.34,Mac OS X,aarch64,15.2,Local
55,8005.0000,6237.0500,2780.0000,0,38,60.00,50.00,67.68,202.38,784.69,Mac OS X,aarch64,15.2,Local
56,9715.0000,6211.4000,2780.0000,0,30,60.00,50.00,64.13,205.85,797.87,Mac OS X,aarch64,15.2,Local
57,9715.0000,6359.6000,2780.0000,0,34,60.00,50.00,66.90,196.61,809.38,Mac OS X,aarch64,15.2,Local
58,9715.0000,6346.3000,2780.0000,0,30,60.00,50.00,63.30,109.83,822.35,Mac OS X,aarch64,15.2,Local
59,9715.0000,6462.2000,2780.0000,0,33,60.00,50.00,67.62,225.76,833.82,Mac OS X,aarch64,15.2,Local
60,9715.0000,6409.0000,2780.0000,0,37,60.00,50.00,63.24,175.60,846.42,Mac OS X,aarch64,15.2,Local
61,9715.0000,6469.8000,2780.0000,0,43,60.00,50.00,61.65,164.99,859.54,Mac OS X,aarch64,15.2,Local
62,9715.0000,6413.7500,2780.0000,0,33,60.00,50.00,65.06,115.84,871.51,Mac OS X,aarch64,15.2,Local
